,Project,Choice #
Student-1,63,1
Student-2,23,1
Student-3,27,7
Student-4,43,1
Student-5,77,6
Student-6,42,1
Student-7,17,9
Student-8,70,3
Student-9,4,1
Student-10,55,1
Student-11,81,3
Student-12,28,3
Student-13,19,1
Student-14,11,1
Student-15,64,1
Student-16,3,1
Student-17,6,10
Student-18,75,2
Student-19,7,1
Student-20,69,2
Student-21,39,3
Student-22,65,1
Student-23,87,2
Student-24,2,1
Student-25,10,2
Student-26,12,2
Student-27,14,4
Student-28,73,2
Student-29,9,2
Student-30,56,2
Student-31,48,1
Student-32,82,7
Student-33,58,8
Student-34,47,10
Student-35,72,1
Student-36,86,6
Student-37,16,4
Student-38,52,1
Student-39,37,1
Student-40,21,1
Student-41,31,4
Student-42,20,2
Student-43,18,1
Student-44,46,1
Student-45,13,3
Student-46,45,2
Student-47,83,6
Student-48,66,1
Student-49,26,3
Student-50,30,3
Student-51,33,1
Student-52,15,3
Student-53,57,2
Student-54,74,2
Student-55,62,2
Student-56,35,1
Student-57,71,1
Student-58,84,3
Student-59,44,7
Student-60,85,5
Student-61,40,3
Student-62,24,3
Student-63,25,5
Student-64,79,4
Student-65,5,6
Student-66,41,2
Student-67,59,4
Student-68,60,7
Student-69,38,4
Student-70,49,5
Student-71,78,4
Student-72,53,2
Student-73,8,5
Student-74,80,5
Student-75,22,7
Student-76,50,5
Student-77,67,4
Student-78,32,2
Student-79,29,8
Student-80,54,5
Student-81,51,3
Student-82,61,3
Student-83,68,4
Student-84,36,1
Student-85,34,1
